Qty,Price (estimated),Extension,Item,Source
1,$539.99,$539.99,Kegco K209B-1 Full Size Kegerator - Single Faucet - D System - Black (package),http://www.amazon.com/gp/product/B00B8AAY66
1,$125.00,$125.00,Kegco K209B-1 shipping,http://www.amazon.com/gp/product/B00B8AAY66
1,$20.00,$20.00,"SBS Logo sticker - Large format (for front of kegerator 16"" x 20""",http://clubcardprinting.com/
1,$250.00,$250.00,3D Printed case (5 STL files),http://www.3dhubs.com
1,$84.99,$84.99,Intel Edison w/Arduino Breakout Board,https://www.amazon.com/Intel-Arduino-Storage-Bluetooth-Enabled/dp/B00O9PMEHY
1,$39.99,$39.99,Grove Starter Kit for Arduino,https://www.amazon.com/Seeedstudio-Grove-Arduino-Starter-Kit/dp/B00NCF251C
1,$7.99,$7.99,Amamax Wall Adapter Power Supply - 12V DC 2A, 5.5mm - 2.1mm UL Listed,https://www.amazon.com/gp/product/B00KZ2ZQE8
1,$15.68,$15.68,DROK Micro Stereo Amplifier Amplify Board 6V to 18V Power Supply Digital Amp Module Electro Portable Ampli Dual Channel 15W+15W,https://www.amazon.com/DROK-Amplifier-Amplify-Digital-Portable/dp/B010FAQQNY
2,$10.61,$21.22,"DROK Mini 5W Stereo Audio Speaker 2"" inch Hifi Speaker 4 Ohm Full-range DIY Loudspeaker",https://www.amazon.com/DROK-Speaker-Loudspeaker-External-Motorcycle/dp/B010FLOFCC
1,$15.99,$15.99,"Liquid Flow Meter- Plastic 1/2"" NPS Threaded",http://www.amazon.com/gp/product/B00K0TFZN8
1,$14.90,$14.90,Grove - Ultrasonic Ranger SKU: SEN10737P,http://www.seeedstudio.com/depot/Grove-Ultrasonic-Ranger-p-960.html
1,$1.90,$1.90,Grove - Red LED SKU: COM04054P,http://www.seeedstudio.com/depot/Grove-Red-LED-p-1142.html
1,$1.90,$1.90,Grove - Blue LED SKU: COM04051P,http://www.seeedstudio.com/depot/Grove-Blue-LED-p-1139.html
1,$1.90,$1.90,Grove - Green LED SKU: COM04053P,http://www.seeedstudio.com/depot/Grove-Green-LED-p-1144.html
1,$3.90,$3.90,Grove - Universal 4 Pin Buckled 50cm Cable (5 PCs Pack) SKU: ACC83057O,http://www.seeedstudio.com/depot/Grove-Universal-4-Pin-Buckled-50cm-Cable-5-PCs-Pack-p-928.html
1,$2.90,$2.90,Grove - Universal 4 Pin Buckled 20cm Cable (5 PCs pack) SKU: ACC90453O,http://www.seeedstudio.com/depot/Grove-Universal-4-Pin-Buckled-20cm-Cable-5-PCs-pack-p-936.html
1,$49.99,$49.99,Amazon Echo Dot,https://www.amazon.com/dp/B015TJD0Y4
1,$4.99,$4.99,Amazon Basics Aux Cable,https://www.amazon.com/AmazonBasics-3-5mm-Stereo-Audio-Cable/dp/B00NO73MUQ
1,$6.59,$6.59,YCS Basics 6 inch USB Micro male to female OTG extension cable,https://www.amazon.com/YCS-Basics-Micro-female-extension/dp/B00HAOK7XE
4,$0.10,$0.40,Small screws to hold back plate to Head,
1,$2.07,$2.07,Tube clamps for beer tubing,http://www.amazon.com/Adjustable-Stainless-Steel-Drive-Clamp/dp/B008MLG8LE
1,$14.28,$14.28,"Plexi glass face plate (12"" x 12"" x 1/4"") and cut down to size",http://www.amazon.com/Source-Premium-Acrylic-PlexiGlass-S1-12x12-25/dp/B00844SOSE
1,$5.00,$5.00,Plumbers tape,http://www.amazon.com/Westbrass-D4301-40-2-Inch-260-Inch-Joint/dp/B00425YM9Y
2,$16.74,$33.48,"Jmf Hose Barb 1/4 "" Hose Barb X 1/4 "" Fpt Yellow Brass Bagged 150 Psi Lead Free",http://www.amazon.com/Hose-Barb-Yellow-Brass-Bagged/dp/B008ROUXG2
2,$18.39,$36.78,"Jmf Pipe Reducer 1/2 "" Fpt X 3/8 "" Mpt Yellow Brass Lead Free",http://www.amazon.com/Pipe-Reducer-Yellow-Brass-Lead/dp/B008ROWU5O
,,"$1,301.83",,
